danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.705,0.637,-7.367,0.084,0.126,0.0308,0.233,0.819,127.656,0wNf3Yk11625KJ6mDkEjzu,185305
0.562,0.9,-5.41,0.0403,0.287,0.000819,0.336,0.693,138.046,5NUFanXmuh51dgRQ18xRAQ,163478
0.863,0.532,-8.709,0.0344,0.669,0.000158,0.224,0.868,113.063,6nwuEYRXKrrq9Ag4S7fzmh,181776
0.523,0.698,-7.598,0.0354,0.329,1.93e-05,0.0846,0.307,124.079,0DnZgTbQaUps8KG08ykZYp,257057
0.566,0.42,-11.168,0.0345,0.859,0.0,0.111,0.199,79.97,6t0oAanLFGaERBbL0Jit4S,223817
0.649,0.616,-6.324,0.0245,0.0379,0.00364,0.292,0.8,106.007,2W5pF9duXEg6G8xyki01MB,236514
0.677,0.132,-13.121,0.0432,0.91,0.00153,0.113,0.264,109.593,5K3G6TJA55rCaanjbnnRW1,227716
0.557,0.24,-9.72,0.0338,0.773,0.436,0.0915,0.149,175.83,3rA6c03IoVVDvkIds5LtZZ,278864
0.672,0.562,-10.639,0.0339,0.0709,0.000382,0.077,0.502,103.05,6Azn3tb7ESz1J7NRRemeYB,295346
0.807,0.312,-12.559,0.034,0.791,1.08e-05,0.128,0.679,93.091,0Ue4DT5khuvlzCFpi1Msrp,251030
0.578,0.233,-12.189,0.0341,0.837,0.000249,0.121,0.33,71.976,6RvCYJuJ3SvUtQMWkdlBw7,231784
0.41,0.519,-8.997,0.038,0.0151,0.00307,0.33,0.235,118.053,7kB8eDV1UlAqvn1AIpe6Go,276936
0.711,0.193,-16.661,0.0301,0.927,0.0202,0.068,0.452,130.02,1CeuaefNSphvx8h2xttMhC,301846
0.449,0.569,-9.079,0.0377,0.108,0.0,0.13,0.253,155.948,5xLQ8xbfxnWYD52QfK76oj,261350
0.559,0.427,-12.228,0.0283,0.881,3.42e-05,0.237,0.351,139.95,1JpclrTUU2Ezc9FyLXFwSQ,548571
0.503,0.513,-8.608,0.0293,0.357,1.17e-05,0.319,0.184,161.924,5W3BW7XUEaid326Yu9Dd4m,237933
0.778,0.599,-4.758,0.032,0.0705,0.0,0.59,0.949,116.951,46elU7IBKWf55D5sjHGqO7,230319
0.68,0.194,-9.427,0.032,0.902,8.86e-05,0.102,0.155,108.506,2K43yCpSo01mX3iuANYqwi,331371
0.503,0.265,-8.668,0.0267,0.846,0.0,0.152,0.244,79.184,2tw5OO9X1ipeB0OoFIpfpb,148000
0.234,0.324,-14.002,0.038,0.334,4.98e-05,0.101,0.0381,181.546,6GYg54EmGSSEYh7M4Kw8if,210666
0.548,0.314,-9.65,0.0291,0.879,0.0,0.156,0.523,99.609,4fT3GgetTau1MDObOeXOL3,164000
0.679,0.408,-9.407,0.0239,0.686,7.22e-06,0.116,0.443,100.222,0nWK6VX7dzN2BgFoL3lmNv,282872
0.766,0.606,-9.044,0.0316,0.39,0.0,0.101,0.659,103.708,44riqQJlNfgCFqFqBFNadz,222186
0.459,0.528,-7.521,0.04,0.652,0.0,0.199,0.334,109.966,06QcrC3NE7ET58nyCjlizp,182240
0.6,0.76,-5.618,0.0279,0.714,0.000955,0.0756,0.192,127.995,39fDS5E57ruE9TCsDVdu6H,385313
0.709,0.395,-10.621,0.0396,0.696,0.00115,0.135,0.463,129.825,6TtLTWOLUrG88dCZawBywQ,154346
