danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id
0.865,0.665,-6.289,0.073,0.0453,0.0,0.224,0.331,111.113,268827,0,1ofhfV90EnYhEr7Un2fWiv
0.801,0.91,-6.566,0.225,0.00239,0.000891,0.0737,0.805,87.277,278387,0,5g9lS8deSIxItFBmZRC4vN
0.644,0.846,-5.443,0.275,0.124,0.0,0.353,0.503,79.182,301600,2,1qZqFtSINOOmjYH1UE9805
0.802,0.787,-6.009,0.206,0.00127,0.000181,0.0763,0.806,90.189,296907,0,7sKt5Y2zJpYw78iAxndB8y
0.872,0.723,-5.968,0.247,0.0293,0.0,0.327,0.843,93.279,307773,0,4VQNCzfZ3MdHEwwErNXpBo
0.865,0.705,-5.717,0.321,0.0594,0.0,0.0654,0.508,82.01,320333,0,2ZAQE38hLEzP4uvw91i8BS
0.627,0.723,-9.392,0.142,0.0101,0.0,0.112,0.325,96.356,181110,0,1OEC2BL3hKLLu3yLrXQCS2
0.763,0.85,-3.052,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,284907,2,3ia3dJETSOllPsv3LJkE35
0.602,0.772,-4.837,0.344,0.292,0.0,0.453,0.482,89.128,133494,2,2Vad27HyoEZUnj7U3RKFRI
0.899,0.713,-2.752,0.366,0.255,0.0,0.0708,0.777,90.051,193467,0,7iL6o9tox1zgHpKUfh9vuC
0.886,0.626,-2.528,0.277,0.265,0.0,0.024,0.856,93.989,196627,0,6mcu7D7QuABVwUGDwovOEh
0.677,0.698,-5.793,0.352,0.0935,0.0,0.0511,0.83,78.443,288573,0,0fLILzjVXRCLC0lsNKcQ8I
0.802,0.863,-3.552,0.2,0.0199,0.0,0.141,0.873,81.008,219400,0,2eXlwgFPe6HgFaPJO8xQHK
0.848,0.405,-7.615,0.293,0.265,0.0,0.131,0.314,128.019,181000,0,0rkzHjL6NnDnRic4qccG12
0.539,0.672,-4.972,0.195,0.0626,0.0,0.388,0.384,174.148,191813,2,1bevrs76fdGW3y03R5q6GB
0.423,0.793,-4.153,0.242,0.141,0.0,0.231,0.587,53.952,235973,0,0qJ5NST6HKWWHSTtu5HsZv
0.727,0.74,-3.401,0.153,0.012,0.0,0.294,0.221,82.031,242227,0,1cA2LExLTdhHLL0FmXoc57
0.604,0.737,-6.174,0.292,0.277,0.0,0.305,0.683,88.243,237613,0,7t67S1XHT4jU0GCkruG34R
0.527,0.75,-6.247,0.3,0.0514,0.0,0.17,0.16,89.106,273250,3,44WG43lprS0ZO3zQEBBOEc
0.834,0.699,-3.222,0.178,0.111,0.0,0.131,0.809,94.086,272533,0,0xmjwnQ3FNE6HuWCt2nHdZ
0.867,0.646,-4.674,0.288,0.303,0.0,0.279,0.67,88.634,304600,0,6MdqqkQ8sSC0WB4i8PyRuQ
0.879,0.395,-7.896,0.307,0.0677,0.0,0.0137,0.758,97.612,158000,0,46OgrB5L5azRLQEnCeGUTS
0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,240693,2,1DIXPcTDzTj8ZMHt3PDt8p
0.75,0.849,-3.097,0.264,0.0803,0.0,0.333,0.771,89.501,261093,0,3vBv2Tp0kHyBDUBZJr9GXQ
0.928,0.529,-6.602,0.253,0.0548,0.0,0.0701,0.567,106.364,247120,0,2hyyA7U1m1pFlZcEyl91jH
0.761,0.899,-3.09,0.183,0.0135,0.0,0.0719,0.673,95.027,217587,0,1zzxoZVylsna2BQB65Ppcb
0.808,0.652,-4.901,0.222,0.111,0.0,0.163,0.556,91.529,365400,0,2yEwNpzHpY0ctoWf7EPMdy
0.939,0.486,-3.488,0.207,0.172,0.0,0.264,0.517,97.582,206547,0,1iQ5E4z6CJ38dIzvMI9Wdo
0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,0,503OTo2dSqe7qk76rgsbep
0.772,0.821,-0.14,0.25,0.223,0.0,0.148,0.77,91.921,244200,0,1SWVDBtw6h3tm9OehOkDhv
0.924,0.74,-1.299,0.0774,0.0827,0.0,0.163,0.621,133.974,222293,0,7iXF2W9vKmDoGAhlHdpyIa
0.922,0.909,-2.429,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,0,4LwU4Vp6od3Sb08CsP99GC
0.818,0.473,-2.733,0.397,0.125,0.0,0.0741,0.717,88.824,265213,0,4VZPYvMTByQytb6F3MKP4w
0.765,0.88,-4.361,0.116,0.176,1e-05,0.139,0.929,168.96,215200,0,0Ed7MeXx64f6OcIuoTRCg1
0.905,0.85,-2.795,0.331,0.055,0.0,0.0903,0.498,99.375,147427,0,0EZMXJMWf0tLKRWwCiA6Sx
0.444,0.866,-6.217,0.111,0.000622,4.72e-05,0.105,0.375,94.968,235120,3,1U8Ho1nOzKXYDvfigOuHG4
0.797,0.563,-6.098,0.139,0.0556,1.83e-05,0.152,0.203,82.872,250533,0,3q3dgg56jNdMv7mWntV2kV
0.785,0.479,-10.247,0.362,0.0417,3.5e-05,0.334,0.727,87.691,339893,0,5RGXoZt1qxmAErdhbyKJKq
0.739,0.872,-4.059,0.333,0.0217,0.0,0.26,0.684,95.084,238746,0,6Xk7PnitV9jCRorWt2LiVZ
0.869,0.68,-6.233,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,0,75IN3CtuZwTHTnZvYM4qnJ
0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107,2,3UmaczJpikHgJFyBTAJVoz
0.686,0.735,-4.616,0.264,0.00921,0.00066,0.342,0.0596,171.355,322227,3,1v7L65Lzy0j0vdpRjJewt1
0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547,3,3CpoeW0cZSDzIRv5z34F87
0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,0,7lQ8MOhq6IN2w8EYcFNSUk
0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,0,3yfqSUWxFvZELEM4PmlwIR
0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,250760,0,561jH07mF1jHuk7KlaeF0s
0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,281320,0,4CDIEKHMb2MBgvgHBkhiJD
0.818,0.77,-5.929,0.369,0.0735,0.0,0.0997,0.755,110.097,330333,0,6dLhl7Jat4JqaKaJlyUy53
0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,297787,3,4xkOaSrkexMciUUogZKVTS
0.777,0.716,-5.327,0.347,0.294,0.0,0.665,0.593,95.756,159787,2,5CsDo9j3N4yFZNCN1h9loS
0.778,0.891,-5.319,0.126,0.0268,0.0,0.184,0.0688,112.441,297013,3,3FLPAAlQNb570TtFQ50RwR
0.719,0.858,-1.366,0.25,0.252,0.0,0.628,0.616,84.497,261387,2,6dJRP4pXk4SOzWfhfHL3Or
0.534,0.906,-2.316,0.349,0.471,0.0,0.782,0.499,174.058,288984,2,0OOv1XGVVzUgTIzomIHfR0
0.781,0.602,-5.426,0.107,0.121,0.0,0.148,0.324,121.998,336519,0,6MtI49ggHHumUTONlvMQlq
0.679,0.908,-3.411,0.202,0.234,0.0,0.0821,0.687,85.918,279013,0,4SE4yewyGpOYfxfx59Yjc5
0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,248133,0,7Ie9W94M7OjPoZVV216Xus
0.727,0.696,-4.472,0.0706,0.251,0.0,0.0726,0.467,132.077,392827,0,1HR2CTi0ytRJIcik1QKdOa
0.632,0.807,-3.489,0.409,0.126,0.0,0.568,0.55,107.316,371453,2,4jpi8FljkAwKFb4ljWuar6
0.668,0.886,-3.474,0.117,0.0417,0.0,0.459,0.503,142.002,278640,2,0sHW1jXe6Sou3437gJQNGA
0.531,0.759,-7.002,0.387,0.0706,0.0,0.318,0.304,175.89,357387,2,3nU6ip6YOygqR3MJjFEb4Z
0.74,0.94,-4.195,0.285,0.125,8.33e-05,0.132,0.489,89.981,359400,0,5NmL2zxnlt9GiTB2TQbvFM
0.884,0.71,-5.944,0.24,0.0856,0.0,0.368,0.773,82.563,248173,0,5MmZraBvIW6liI1iET3pdK
0.781,0.864,-3.739,0.0538,0.0071,0.000466,0.0895,0.618,79.995,255040,0,2hARTYV46zzxDEjui6AXy1
0.857,0.706,-3.082,0.159,0.00539,0.00259,0.117,0.322,95.722,353760,0,3WgTbafC5uRpdQdFndQYxE
0.802,0.785,-4.781,0.207,0.14,0.0,0.123,0.435,99.998,206400,0,2wGSgTmgSF3xjRrHkTc25R
0.862,0.648,-7.401,0.251,0.0455,0.0,0.0332,0.637,98.012,235533,0,4PmMVdIFpJTB9WQbmILf4p
0.651,0.774,-6.258,0.3,0.223,0.0,0.526,0.468,87.104,352973,2,6oqNpt86Lbgma8X7nf6Uzz
0.699,0.491,-9.911,0.218,0.0756,0.0,0.61,0.24,81.095,367151,2,4QV4EEYszD7HGrTo6PzX9K
0.638,0.774,-6.792,0.412,0.0485,0.0,0.224,0.533,86.187,178467,0,6AjBdsE7YQDRiSvSdJ4pk1
0.757,0.862,-3.519,0.0696,0.115,0.000203,0.285,0.823,99.017,233173,0,1KBN9lYx9QkfUJC3NSXlhQ
0.934,0.735,-6.668,0.251,0.031,8.6e-06,0.107,0.768,101.368,273107,0,3NGT0Td7H4Is1qrlDQJxma
0.575,0.927,-5.511,0.395,0.0383,0.0,0.0623,0.473,105.567,313547,0,4wEbikMfcSFAukCbbL06si
0.78,0.754,-5.377,0.0952,0.135,0.034,0.0467,0.81,82.394,260307,0,2MuJbBWAVewREJmB8WdGJ3
